Company Name,BSE Code,NSE Symbol,Latest Market Cap,Industry
Granules India Ltd.,532482,GRANULES," ? 11,868.92 ",Pharmaceuticals & Drugs
Ather Energy Ltd.,544397,ATHERENERG," ? 11,834.91 ",Automobile Two & Three Wheelers
Balrampur Chini Mills Ltd.,500038,BALRAMCHIN," ? 11,831.48 ",Sugar
Jyothy Labs Ltd.,532926,JYOTHYLAB," ? 11,827.98 ",Household & Personal Products
Godawari Power And Ispat Ltd.,532734,GPIL," ? 11,819.78 ",Steel & Iron Products
Titagarh Rail Systems Ltd.,532966,TITAGARH," ? 11,796.75 ",Railways Wagons
HFCL Ltd.,500183,HFCL," ? 11,787.52 ",Telecom-Infrastructure
SBFC Finance Ltd.,543959,SBFC," ? 11,741.77 ",Finance - NBFC
Valor Estate Ltd.,533160,DBREALTY," ? 11,634.95 ",Construction - Real Estate
Jaiprakash Power Ventures Ltd.,532627,JPPOWER," ? 11,589.20 ",Power Generation/Distribution
Eureka Forbes Ltd.,543482,EUREKAFORB," ? 11,562.73 ",Consumer Durables - Domestic Appliances
Jai Balaji Industries Ltd.,532976,JAIBALAJI," ? 11,529.03 ",Steel/Sponge Iron/Pig Iron
Shakti Pumps (India) Ltd.,531431,SHAKTIPUMP," ? 11,477.11 ",Compressors / Pumps
Sammaan Capital Ltd.,535789,SAMMAANCAP," ? 11,470.79 ",Finance - Housing
Sanofi Consumer Healthcare India Ltd.,544250,SANOFICONR," ? 11,450.83 ",Pharmaceuticals & Drugs
Jubilant Ingrevia Ltd.,543271,JUBLINGREA," ? 11,449.89 ",Chemicals
Ramkrishna Forgings Ltd.,532527,RKFORGE," ? 11,429.51 ",Forgings
Sonata Software Ltd.,532221,SONATSOFTW," ? 11,379.34 ",IT - Software
Inox India Ltd.,544046,INOXINDIA," ? 11,298.24 ",Engineering - Industrial Equipments
CCL Products (India) Ltd.,519600,CCL," ? 11,190.31 ",Tea/Coffee
Vesuvius India Ltd.,520113,VESUVIUS," ? 11,189.23 ",Refractories
Genus Power Infrastructures Ltd.,530343,GENUSPOWER," ? 11,189.11 ",Electric Equipment
NMDC Steel Ltd.,543768,NSLNISP," ? 11,083.55 ",Steel & Iron Products
Alkyl Amines Chemicals Ltd.,506767,ALKYLAMINE," ? 11,044.29 ",Chemicals
Graphite India Ltd.,509488,GRAPHITE," ? 10,951.78 ",Electrodes & Welding Equipment
Marksans Pharma Ltd.,524404,MARKSANS," ? 10,907.65 ",Pharmaceuticals & Drugs
Astra Microwave Products Ltd.,532493,ASTRAMICRO," ? 10,814.24 ",Defence
Prudent Corporate Advisory Services Ltd.,543527,PRUDENT," ? 10,798.45 ",Finance - Others
Lemon Tree Hotels Ltd.,541233,LEMONTREE," ? 10,674.11 ","Hotel, Resort & Restaurants"
Azad Engineering Ltd.,544061,AZAD," ? 10,633.38 ",Engineering - Industrial Equipments
Sapphire Foods India Ltd.,543397,SAPPHIRE," ? 10,624.92 ",Consumer Food
Shipping Corporation Of India Ltd.,523598,SCI," ? 10,607.64 ",Shipping
Can Fin Homes Ltd.,511196,CANFINHOME," ? 10,537.15 ",Finance - Housing
MMTC Ltd.,513377,MMTC," ? 10,504.50 ",Trading
Syrma SGS Technology Ltd.,543573,SYRMA," ? 10,450.48 ",Electronics - Components
Safari Industries (India) Ltd.,523025,SAFARI," ? 10,441.68 ",Household & Personal Products
Sundaram Finance Holdings Ltd.,,SUNDARMHLD," ? 10,438.88 ",Finance - Investment
IIFL Capital Services Ltd.,542773,IIFLSEC," ? 10,437.01 ",Finance - Stock Broking
Medplus Health Services Ltd.,543427,MEDPLUS," ? 10,416.36 ",Pharmaceuticals & Drugs
Power Mech Projects Ltd.,539302,POWERMECH," ? 10,399.23 ",Engineering - Construction
Waaree Renewable Technologies Ltd.,534618,WAAREERTL," ? 10,299.56 ",Power Generation/Distribution
Shriram Pistons & Rings Ltd,544344,SHRIPISTON," ? 10,271.98 ",Engineering - Industrial Equipments
ASK Automotive Ltd.,544022,ASKAUTOLTD," ? 10,247.47 ",Auto Ancillary
Relaxo Footwears Ltd.,530517,RELAXO," ? 10,225.15 ",Footwear
Maharashtra Seamless Ltd.,500265,MAHSEAMLES," ? 10,174.56 ",Steel & Iron Products
Chennai Petroleum Corporation Ltd.,500110,CHENNPETRO," ? 10,152.03 ",Refineries
RHI Magnesita India Ltd.,534076,RHIM," ? 10,151.61 ",Refractories
Aether Industries Ltd.,543534,AETHER," ? 10,131.88 ",Chemicals
Elantas Beck India Ltd.,500123,DRBECK," ? 10,094.95 ",Chemicals
Time Technoplast Ltd.,532856,TIMETECHNO," ? 10,087.00 ",Plastic Products
Netweb Technologies India Ltd.,543945,NETWEB," ? 10,043.03 ",IT - Hardware
HEG Ltd.,509631,HEG," ? 9,906.50 ",Electrodes & Welding Equipment
Honasa Consumer Ltd.,544014,HONASA," ? 9,846.56 ",Trading
Procter & Gamble Health Ltd.,500126,PGHL," ? 9,829.32 ",Pharmaceuticals & Drugs
Tega Industries Ltd.,543413,TEGA," ? 9,823.97 ",Engineering - Industrial Equipments
Birla Corporation Ltd.,500335,BIRLACORPN," ? 9,798.16 ",Cement & Construction Materials
Avanti Feeds Ltd.,512573,AVANTIFEED," ? 9,794.70 ",Consumer Food
Sudarshan Chemical Industries Ltd.,506655,SUDARSCHEM," ? 9,778.40 ",Dyes & Pigments
Happiest Minds Technologies Ltd.,543227,HAPPSTMNDS," ? 9,764.30 ",IT - Software
Jupiter Life Line Hospitals Ltd.,543980,JLHL," ? 9,710.33 ",Hospital & Healthcare Services
CE Info Systems Ltd.,543425,MAPMYINDIA," ? 9,705.82 ",IT - Software
Saregama India Ltd.,532163,SAREGAMA," ? 9,687.59 ","Film Production, Distribution & Entertainment"
The India Cements Ltd.,530005,INDIACEM," ? 9,653.30 ",Cement & Construction Materials
JK Lakshmi Cement Ltd.,500380,JKLAKSHMI," ? 9,595.41 ",Cement & Construction Materials
Banco Products (India) Ltd.,500039,BANCOINDIA," ? 9,587.08 ",Auto Ancillary
Vijaya Diagnostic Centre Ltd.,543350,VIJAYA," ? 9,580.71 ",Hospital & Healthcare Services
Alok Industries Ltd.,521070,ALOKINDS," ? 9,543.19 ",Textile
Kirloskar Ferrous Industries Ltd.,500245,KIRLFER," ? 9,529.27 ",Castings/Forgings
Olectra Greentech Ltd.,532439,OLECTRA," ? 9,459.81 ",Automobiles-Trucks/Lcv
Usha Martin Ltd.,517146,USHAMART," ? 9,445.67 ",Steel & Iron Products
Edelweiss Financial Services Ltd.,532922,EDELWEISS," ? 9,440.95 ",Finance - NBFC
KPI Green Energy Ltd.,542323,KPIGREEN," ? 9,440.80 ",Engineering - Construction
India Shelter Finance Corporation Ltd.,544044,INDIASHLTR," ? 9,387.06 ",Finance - Housing
Ujjivan Small Finance Bank Ltd.,542904,UJJIVANSFB," ? 9,355.47 ",Bank - Private
PVR Inox Ltd.,532689,PVRINOX," ? 9,347.66 ","Film Production, Distribution & Entertainment"
