Company Name,BSE Code,NSE Symbol,Latest Market Cap,Industry
Jeena Sikho Lifecare Ltd.,,JSLL," ? 5,855.19 ",Trading
Refex Industries Ltd.,532884,REFEX," ? 5,831.85 ",Industrial  Gases & Fuels
Supriya Lifescience Ltd.,543434,SUPRIYA," ? 5,830.98 ",Pharmaceuticals & Drugs
Infibeam Avenues Ltd.,539807,INFIBEAM," ? 5,827.74 ",Fintech
TVS Supply Chain Solutions Ltd.,543965,TVSSCS," ? 5,816.38 ",Logistics
Thangamayil Jewellery Ltd.,533158,THANGAMAYL," ? 5,815.76 ",Diamond  &  Jewellery
Indo Count Industries Ltd.,521016,ICIL," ? 5,803.98 ",Textile
Camlin Fine Sciences Ltd.,532834,CAMLINFINE," ? 5,764.48 ",Chemicals
Skipper Ltd.,538562,SKIPPER," ? 5,756.09 ",Engineering - Industrial Equipments
Optiemus Infracom Ltd.,530135,OPTIEMUS," ? 5,754.34 ",Trading
Fischer Medical Ventures Ltd.,524743,," ? 5,682.29 ",Chemicals
Sunflag Iron And Steel Company Ltd.,500404,SUNFLAG," ? 5,667.90 ",Steel & Iron Products
Websol Energy System Ltd.,517498,WEBELSOLAR," ? 5,636.66 ",Electronics - Components
Sharda Motor Industries Ltd.,535602,SHARDAMOTR," ? 5,634.57 ",Auto Ancillary
PDS Ltd.,538730,PDSL," ? 5,632.67 ",Textile
SpiceJet Ltd.,500285,SPICEJET," ? 5,632.39 ",Airlines
Inox Green Energy Services Ltd.,543667,INOXGREEN," ? 5,627.10 ",Engineering - Construction
Indigo Paints Ltd.,543258,INDIGOPNTS," ? 5,623.28 ",Paints
MAS Financial Services Ltd.,540749,MASFIN," ? 5,617.80 ",Finance Term Lending
Kitex Garments Ltd.,521248,KITEX," ? 5,606.95 ",Textile
TARC Ltd.,543249,TARC," ? 5,598.57 ",Construction - Real Estate
Senco Gold Ltd.,543936,SENCO," ? 5,577.43 ",Diamond  &  Jewellery
Styrenix Performance Materials Ltd.,506222,STYRENIX," ? 5,551.43 ",Chemicals
Zaggle Prepaid Ocean Services Ltd.,543985,ZAGGLE," ? 5,545.27 ",IT - Software
Pricol Ltd.,540293,PRICOLLTD," ? 5,532.81 ",Auto Ancillary
Suven Life Sciences Ltd.,530239,SUVEN," ? 5,532.09 ",Pharmaceuticals & Drugs
Electronics Mart India Ltd.,543626,EMIL," ? 5,527.69 ",Retailing
Hindustan Construction Company Ltd.,500185,HCC," ? 5,525.47 ",Engineering - Construction
Shoppers Stop Ltd.,532638,SHOPERSTOP," ? 5,513.41 ",Retailing
The Anup Engineering Ltd.,542460,ANUP," ? 5,506.28 ",Engineering - Industrial Equipments
Laxmi Organic Industries Ltd.,543277,LXCHEM," ? 5,501.99 ",Chemicals
Jindal Worldwide Ltd.,531543,JINDWORLD," ? 5,494.26 ",Textile
Care Ratings Ltd.,534804,CARERATING," ? 5,470.05 ",Ratings
Avalon Technologies Ltd.,543896,AVALON," ? 5,469.27 ",Electronics - Components
GMM Pfaudler Ltd.,505255,GMMPFAUDLR," ? 5,458.26 ",Engineering - Industrial Equipments
Piccadily Agro Industries Ltd.,530305,," ? 5,436.55 ",Breweries & Distilleries
J Kumar Infraprojects Ltd.,532940,JKIL," ? 5,435.43 ",Engineering - Construction
R Systems International Ltd.,532735,RSYSTEMS," ? 5,425.96 ",IT - Software
National Standard (India) Ltd.,504882,," ? 5,424.40 ",Construction - Real Estate
Jana Small Finance Bank Ltd.,544118,JSFB," ? 5,396.62 ",Bank - Private
SIS Ltd.,540673,SIS," ? 5,352.61 ",Professional Services
VST Industries Ltd.,509966,VSTIND," ? 5,337.23 ",Cigarettes/Tobacco
KRN Heat Exchanger And Refrigeration Ltd.,544263,KRN," ? 5,335.52 ",Engineering - Industrial Equipments
E2E Networks Ltd.,,E2E," ? 5,334.74 ",IT - Hardware
RateGain Travel Technologies Ltd.,543417,RATEGAIN," ? 5,316.34 ",IT - Software
Sterlite Technologies Ltd.,532374,STLTECH," ? 5,312.64 ",Cable
PTC India Ltd.,532524,PTC," ? 5,292.63 ",Power Generation/Distribution
Yatharth Hospital & Trauma Care Services Ltd.,543950,YATHARTH," ? 5,287.93 ",Hospital & Healthcare Services
AGI Greenpac Ltd.,500187,AGI," ? 5,257.63 ",Packaging
Sun Pharma Advanced Research Company Ltd.,532872,SPARC," ? 5,222.53 ",Business Support
Kennametal India Ltd.,505890,KENNAMET," ? 5,216.98 ",Engineering
India Tourism Development Corporation Ltd.,532189,ITDC," ? 5,204.49 ","Hotel, Resort & Restaurants"
Thyrocare Technologies Ltd.,539871,THYROCARE," ? 5,164.04 ",Hospital & Healthcare Services
VRL Logistics Ltd.,539118,VRLLOG," ? 5,130.03 ",Logistics
Fiem Industries Ltd.,532768,FIEMIND," ? 5,101.28 ",Auto Ancillary
Gujarat Ambuja Exports Ltd.,524226,GAEL," ? 5,075.65 ",Solvent  Extraction
Quality Power Electrical Equipments Ltd.,544367,QPOWER," ? 5,053.62 ",Electric Equipment
Raymond Ltd.,500330,RAYMOND," ? 5,037.94 ",Textile - Weaving
Rain Industries Ltd.,500339,RAIN," ? 4,957.40 ",Petrochemicals
National Fertilizers Ltd.,523630,NFL," ? 4,956.80 ",Fertilizers
Entero Healthcare Solutions Ltd.,544122,ENTERO," ? 4,950.44 ",Trading
Cigniti Technologies Ltd.,534758,CIGNITITEC," ? 4,935.09 ",IT - Software
Bondada Engineering Ltd.,543971,," ? 4,929.64 ",Telecom-Infrastructure
Samhi Hotels Ltd.,543984,SAMHI," ? 4,901.93 ","Hotel, Resort & Restaurants"
Dynamatic Technologies Ltd.,505242,DYNAMATECH," ? 4,894.59 ",Compressors / Pumps
Bannari Amman Sugars Ltd.,500041,BANARISUG," ? 4,892.49 ",Sugar
MTAR Technologies Ltd.,543270,MTARTECH," ? 4,892.31 ",Engineering
Orient Cement Ltd.,535754,ORIENTCEM," ? 4,885.84 ",Cement & Construction Materials
D.B. Corp Ltd.,533151,DBCORP," ? 4,837.87 ",Printing And Publishing
Innova Captab Ltd.,544067,INNOVACAP," ? 4,831.50 ",Pharmaceuticals & Drugs
Swaraj Engines Ltd.,500407,SWARAJENG," ? 4,815.86 ",Diesel Engines
Go Fashion (India) Ltd.,543401,GOCOLORS," ? 4,765.48 ",Retailing
Grauer & Weil (India) Ltd.,505710,GRAUWEIL," ? 4,749.49 ",Chemicals
Orient Electric Ltd.,541301,ORIENTELEC," ? 4,743.55 ",Consumer Durables - Domestic Appliances
Johnson Controls - Hitachi Air Conditioning India Ltd.,523398,JCHAC," ? 4,741.28 ",Air Conditioners
Aditya Vision Ltd.,540205,AVL," ? 4,730.94 ",Retailing
Ceigall India Ltd.,544223,CEIGALL," ? 4,729.66 ",Engineering - Construction
Restaurant Brands Asia Ltd.,543248,RBA," ? 4,701.43 ",Restaurants
Bharat Rasayan Ltd.,590021,BHARATRAS," ? 4,687.21 ",Pesticides & Agrochemicals
Sequent Scientific Ltd.,512529,SEQUENT," ? 4,686.80 ",Pharmaceuticals & Drugs
Sky Gold and Diamonds Ltd.,541967,SKYGOLD," ? 4,666.13 ",Diamond  &  Jewellery
Heidelberg Cement India Ltd.,500292,HEIDELBERG," ? 4,653.50 ",Cement & Construction Materials
63 Moons Technologies Ltd.,526881,63MOONS," ? 4,653.01 ",IT - Software
Prime Focus Ltd.,532748,PFOCUS," ? 4,639.45 ","Film Production, Distribution & Entertainment"
DCB Bank Ltd.,532772,DCBBANK," ? 4,622.71 ",Bank - Private
MPS Ltd.,532440,MPSLTD," ? 4,617.89 ",Printing And Publishing
NACL Industries Ltd.,524709,NACLIND," ? 4,613.19 ",Pesticides & Agrochemicals
Nirlon Ltd.,500307,NIRLON," ? 4,608.19 ",Engineering - Construction
Heritage Foods Ltd.,519552,HERITGFOOD," ? 4,598.97 ",Consumer Food
Indostar Capital Finance Ltd.,541336,INDOSTAR," ? 4,563.12 ",Finance - NBFC
Awfis Space Solutions Ltd.,544181,AWFIS," ? 4,558.22 ",Business Support
SG Mart Ltd.,512329,," ? 4,556.79 ",Trading
Sundaram-Clayton Ltd.,544066,SUNCLAY," ? 4,552.09 ",Auto Ancillary
NIIT Learning Systems Ltd. ,543952,NIITMTS," ? 4,534.47 ",IT - Software
Greaves Cotton Ltd.,501455,GREAVESCOT," ? 4,524.09 ",Diesel Engines
Gujarat Alkalies And Chemicals Ltd.,530001,GUJALKALI," ? 4,485.53 ",Chemicals
Quess Corp Ltd.,539978,QUESS," ? 4,470.72 ",BPO/ITeS
Hawkins Cookers Ltd.,508486,HAWKINCOOK," ? 4,468.87 ",Consumer Durables - Domestic Appliances
Fedbank Financial Services Ltd,544027,FEDFINA," ? 4,466.86 ",Finance - NBFC
Indraprastha Medical Corporation Ltd.,532150,INDRAMEDCO," ? 4,458.98 ",Hospital & Healthcare Services
Kirloskar Industries Ltd.,500243,KIRLOSIND," ? 4,456.17 ",Engineering - Industrial Equipments
Gopal Snacks Ltd.,544140,GOPAL," ? 4,425.34 ",Consumer Food
Sindhu Trade Links Ltd.,532029,SINDHUTRAD," ? 4,417.63 ",Logistics
Rolex Rings Ltd,543325,ROLEXRINGS," ? 4,404.99 ",Bearings
Uflex Ltd.,500148,UFLEX," ? 4,404.54 ",Packaging
Hikal Ltd.,524735,HIKAL," ? 4,403.69 ",Pharmaceuticals & Drugs
Lux Industries Ltd.,539542,LUXIND," ? 4,372.72 ",Textile
Avantel Ltd.,532406,AVANTEL," ? 4,341.93 ",Defence
Oriana Power Ltd.,,ORIANA," ? 4,331.84 ",Engineering - Construction
Magellanic Cloud Ltd.,538891,MCLOUD," ? 4,331.54 ",IT - Software
Neogen Chemicals Ltd.,542665,NEOGEN," ? 4,327.55 ",Chemicals
Gokul Agro Resources Ltd.,539725,GOKULAGRO," ? 4,303.84 ",Edible Oil
Aarti Drugs Ltd.,524348,AARTIDRUGS," ? 4,286.50 ",Pharmaceuticals & Drugs
Kingfa Science & Technology (India) Ltd.,524019,KINGFA," ? 4,278.63 ",Plastic Products
Enviro Infra Engineers Ltd.,544290,EIEL," ? 4,268.01 ",Engineering - Construction
Jain Irrigation Systems Ltd.,500219,JISLJALEQS," ? 4,198.76 ",Plastic Products
RPG Life Sciences Ltd.,532983,RPGLIFE," ? 4,193.96 ",Pharmaceuticals & Drugs
Unichem Laboratories Ltd.,506690,UNICHEMLAB," ? 4,183.51 ",Pharmaceuticals & Drugs
Kalyani Steels Ltd.,500235,KSL," ? 4,144.42 ",Steel & Iron Products
LG Balakrishnan & Bros Ltd.,500250,LGBBROSLTD," ? 4,120.50 ",Auto Ancillary
Steel Strips Wheels Ltd.,513262,SSWL," ? 4,105.55 ",Auto Ancillary
Prince Pipes and Fittings Ltd.,542907,PRINCEPIPE," ? 4,104.58 ",Plastic Products
Wonderla Holidays Ltd.,538268,WONDERLA," ? 4,079.53 ",Amusement Parks/Recreation/Club
Sanathan Textiles Ltd.,544314,SANATHAN," ? 4,063.63 ",Textile - Spinning
WPIL Ltd.,505872,," ? 4,048.94 ",Compressors / Pumps
Kothari Industrial Corporation Ltd.,509732,KOTHARINDL," ? 4,048.07 ",Fertilizers
Borosil Ltd.,543212,BOROLTD," ? 4,037.25 ",Consumer Durables - Domestic Appliances
Dishman Carbogen Amcis Ltd.,540701,DCAL," ? 3,999.54 ",Pharmaceuticals & Drugs
Fusion Finance Ltd.,543652,FUSION," ? 3,986.25 ",Finance - NBFC
Share India Securities Ltd.,540725,SHAREINDIA," ? 3,972.49 ",Finance - Stock Broking
Vadilal Industries Ltd.,519156,VADILALIND," ? 3,969.84 ",Consumer Food
Hemisphere Properties India Ltd.,543242,HEMIPROP," ? 3,969.77 ",Construction - Real Estate
Greenply Industries Ltd.,526797,GREENPLY," ? 3,968.07 ",Wood & Wood Products
Network People Services Technologies Ltd.,544396,NPST," ? 3,939.56 ",IT - Software
Vaibhav Global Ltd.,532156,VAIBHAVGBL," ? 3,933.98 ",Retailing
Ashapura Minechem Ltd.,527001,ASHAPURMIN," ? 3,932.81 ",Mining & Minerals
Prabha Energy Ltd,544379,PRABHA," ? 3,925.77 ",Miscellaneous
SJS Enterprises Ltd.,543387,SJS," ? 3,922.28 ",Auto Ancillary
Marsons Ltd.,517467,," ? 3,901.51 ",Electric Equipment
Imagicaaworld Entertainment Ltd.,539056,IMAGICAA," ? 3,877.15 ",Amusement Parks/Recreation/Club
Dhani Services Ltd.,532960,DHANI," ? 3,869.23 ",Finance - Stock Broking
Indian Metals & Ferro Alloys Ltd.,533047,IMFA," ? 3,867.43 ",Ferro & Silica Manganese
Bhagiradha Chemicals & Industries Ltd.,531719,BHAGCHEM," ? 3,864.79 ",Pesticides & Agrochemicals
Northern ARC Capital Ltd.,544260,NORTHARC," ? 3,845.59 ",Finance - NBFC
MSTC Ltd.,542597,MSTCLTD," ? 3,801.60 ",Trading
Jamna Auto Industries Ltd.,520051,JAMNAAUTO," ? 3,798.29 ",Auto Ancillary
Shanthi Gears Ltd.,522034,SHANTIGEAR," ? 3,790.91 ",Auto Ancillary
Goodluck India Ltd.,530655,GOODLUCK," ? 3,781.88 ",Steel & Iron Products
Polyplex Corporation Ltd.,524051,POLYPLEX," ? 3,781.22 ",Plastic Products
Cyient DLM Ltd.,543933,CYIENTDLM," ? 3,772.98 ",Electric Equipment
Ganesha Ecosphere Ltd.,514167,GANECOS," ? 3,762.91 ",Textile - Manmade  Fibres
Harsha Engineers International Ltd.,543600,HARSHA," ? 3,760.58 ",Engineering - Industrial Equipments
Orchid Pharma Ltd.,524372,ORCHPHARMA," ? 3,750.93 ",Pharmaceuticals & Drugs
Rossari Biotech Ltd.,543213,ROSSARI," ? 3,744.72 ",Chemicals
Kolte-Patil Developers Ltd.,532924,KOLTEPATIL," ? 3,742.46 ",Construction - Real Estate
Easy Trip Planners Ltd.,543272,EASEMYTRIP," ? 3,735.46 ",Travel Services
Medi Assist Healthcare Services Ltd.,544088,MEDIASSIST," ? 3,715.24 ",Business Support
Pitti Engineering Ltd.,513519,PITTIENG," ? 3,704.53 ",Engineering
HPL Electric & Power Ltd.,540136,HPL," ? 3,699.53 ",Electric Equipment
Datamatics Global Services Ltd.,532528,DATAMATICS," ? 3,674.05 ",IT - Software
Madhya Bharat Agro Products Ltd.,,MBAPL," ? 3,672.01 ",Fertilizers
Goldiam International Ltd.,526729,GOLDIAM," ? 3,668.41 ",Diamond  &  Jewellery
Advanced Enzyme Technologies Ltd.,540025,ADVENZYMES," ? 3,645.09 ",Pharmaceuticals & Drugs
Balmer Lawrie & Company Ltd.,523319,BALMLAWRIE," ? 3,641.19 ",Diversified
Ujaas Energy Ltd.,533644,UEL," ? 3,636.82 ",Electric Equipment
TCNS Clothing Co. Ltd.,541700,TCNSBRANDS," ? 3,616.16 ",Textile
Jash Engineering Ltd.,544402,JASH," ? 3,607.79 ",Engineering - Industrial Equipments
Hubtown Ltd.,532799,HUBTOWN," ? 3,600.20 ",Construction - Real Estate
Maithan Alloys Ltd.,590078,MAITHANALL," ? 3,592.66 ",Ferro & Silica Manganese
Arkade Developers Ltd.,544261,ARKADE," ? 3,577.18 ",Construction - Real Estate
Ajmera Realty & Infra India Ltd.,513349,AJMERA," ? 3,576.37 ",Construction - Real Estate
Interarch Building Solutions Ltd.,544232,INTERARCH," ? 3,573.70 ",Engineering - Construction
Ramky Infrastructure Ltd.,533262,RAMKY," ? 3,551.92 ",Engineering - Construction
Gufic Biosciences Ltd.,509079,GUFICBIO," ? 3,548.82 ",Pharmaceuticals & Drugs
Protean e-Gov Technologies Ltd.,544021,PROTEAN," ? 3,534.18 ",BPO/ITeS
Vishnu Chemicals Ltd.,516072,VISHNU," ? 3,528.33 ",Chemicals
JTEKT India Ltd.,520057,JTEKTINDIA," ? 3,527.63 ",Auto Ancillary
KP Energy Ltd.,539686,KPEL," ? 3,515.30 ",Engineering - Construction
Nitco Ltd.,532722,NITCO," ? 3,514.08 ",Ceramics/Marble/Granite/Sanitaryware
Artemis Medicare Services Ltd.,542919,ARTEMISMED," ? 3,513.60 ",Hospital & Healthcare Services
Ashiana Housing Ltd.,523716,ASHIANA," ? 3,509.32 ",Construction - Real Estate
Apeejay Surrendra Park Hotels Ltd.,544111,PARKHOTELS," ? 3,485.90 ","Hotel, Resort & Restaurants"
Bombay Dyeing And Manufacturing Company Ltd.,500020,BOMDYEING," ? 3,482.18 ",Textile
KDDL Ltd.,532054,KDDL," ? 3,481.68 ",Watches & Accessories
Allcargo Logistics Ltd.,532749,ALLCARGO," ? 3,479.05 ",Logistics
Bharat Bijlee Ltd.,503960,BBL," ? 3,458.08 ",Electric Equipment
Nalwa Sons Investments Ltd.,532256,NSIL," ? 3,443.54 ",Finance - Investment
Jayaswal Neco Industries Ltd.,522285,JAYNECOIND," ? 3,426.65 ",Steel & Iron Products
Solara Active Pharma Sciences Ltd.,541540,SOLARA," ? 3,420.85 ",Pharmaceuticals & Drugs
EMS Ltd.,543983,EMSLIMITED," ? 3,414.59 ",Engineering - Construction
Morepen Laboratories Ltd.,500288,MOREPENLAB," ? 3,399.51 ",Pharmaceuticals & Drugs
Lumax Industries Ltd.,517206,LUMAXIND," ? 3,398.28 ",Auto Ancillary
Gujarat Industries Power Company Ltd.,517300,GIPCL," ? 3,397.06 ",Power Generation/Distribution
Moschip Technologies Ltd.,532407,MOSCHIP," ? 3,396.42 ",IT - Software
West Coast Paper Mills Ltd.,500444,WSTCSTPAPR," ? 3,395.57 ",Paper & Paper Products
EPACK Durable Ltd.,544095,EPACK," ? 3,393.42 ",Air Conditioners
ASM Technologies Ltd.,526433,," ? 3,376.35 ",IT - Software
Centum Electronics Ltd.,517544,CENTUM," ? 3,374.41 ",Electronics - Components
Standard Glass Lining Technology Ltd.,544333,SGLTL," ? 3,373.21 ",Engineering - Industrial Equipments
TeamLease Services Ltd.,539658,TEAMLEASE," ? 3,370.00 ",Professional Services
Marathon Nextgen Realty Ltd.,503101,MARATHON," ? 3,358.74 ",Construction - Real Estate
Precision Wires India Ltd.,523539,PRECWIRE," ? 3,358.59 ",Cable
Tanfac Industries Ltd.,506854,TANFACIND," ? 3,356.59 ",Chemicals
Som Distilleries And Breweries Ltd.,507514,SDBL," ? 3,350.12 ",Breweries & Distilleries
TCPL Packaging Ltd.,523301,TCPLPACK," ? 3,347.40 ",Packaging
Greenpanel Industries Ltd.,542857,GREENPANEL," ? 3,329.95 ",Wood & Wood Products
Gateway Distriparks Ltd.,543489,GATEWAY," ? 3,329.13 ",Logistics
Pokarna Ltd.,532486,POKARNA," ? 3,327.97 ",Ceramics/Marble/Granite/Sanitaryware
Windsor Machines Ltd.,522029,WINDMACHIN," ? 3,318.73 ",Engineering - Industrial Equipments
Servotech Renewable Power System Ltd.,,SERVOTECH," ? 3,318.57 ",Electric Equipment
Patel Engineering Ltd.,531120,PATELENG," ? 3,313.09 ",Engineering - Construction
Sundrop Brands Ltd.,500215,ATFL," ? 3,308.65 ",Edible Oil
Bajaj Hindusthan Sugar Ltd.,500032,BAJAJHIND," ? 3,284.09 ",Sugar
Mahanagar Telephone Nigam Ltd.,500108,MTNL," ? 3,263.40 ",Telecommunication - Service  Provider
SH Kelkar And Company Ltd.,539450,SHK," ? 3,260.09 ",Chemicals
Nocil Ltd.,500730,NOCIL," ? 3,253.81 ",Chemicals
Zota Health Care Ltd.,,ZOTA," ? 3,245.90 ",Pharmaceuticals & Drugs
Raghav Productivity Enhancers Ltd.,539837,RPEL," ? 3,245.06 ",Mining & Minerals
Mangalore Chemicals & Fertilizers Ltd.,530011,MANGCHEFER," ? 3,240.20 ",Fertilizers
SML Isuzu Ltd.,505192,SMLISUZU," ? 3,238.03 ",Automobiles-Trucks/Lcv
Shivalik Bimetal Controls Ltd.,513097,SBCL," ? 3,235.34 ",Metal - Non Ferrous
Kewal Kiran Clothing Ltd.,532732,KKCL," ? 3,231.63 ",Textile
Dalmia Bharat Sugar And Industries Ltd.,500097,DALMIASUG," ? 3,231.50 ",Sugar
Sandhar Technologies Ltd.,541163,SANDHAR," ? 3,230.74 ",Auto Ancillary
HLE Glascoat Ltd.,522215,HLEGLAS," ? 3,221.11 ",Engineering - Industrial Equipments
V.S.T. Tillers Tractors Ltd.,531266,VSTTILLERS," ? 3,200.12 ",Automobiles-Tractors
Navneet Education Ltd.,508989,NAVNETEDUL," ? 3,198.30 ",Printing And Publishing
Fineotex Chemical Ltd.,533333,FCL," ? 3,196.07 ",Chemicals
Sagar Cements Ltd.,502090,SAGCEM," ? 3,194.36 ",Cement & Construction Materials
Siyaram Silk Mills Ltd.,503811,SIYSIL," ? 3,191.11 ",Textile - Weaving
D.P. Abhushan Ltd.,544161,DPABHUSHAN," ? 3,190.36 ",Diamond  &  Jewellery
Kiri Industries Ltd.,532967,KIRIINDUS," ? 3,189.77 ",Dyes & Pigments
Foseco India Ltd.,500150,FOSECOIND," ? 3,189.14 ",Chemicals
PSP Projects Ltd.,540544,PSPPROJECT," ? 3,184.82 ",Construction - Real Estate
Federal-Mogul Goetze (India) Ltd.,505744,FMGOETZE," ? 3,173.81 ",Auto Ancillary
Alembic Ltd.,506235,ALEMBICLTD," ? 3,159.19 ",Pharmaceuticals & Drugs
Blue Pearl Agriventures Ltd.,514440,," ? 3,136.33 ",Trading
DCX Systems Ltd.,543650,DCXINDIA," ? 3,129.96 ",Defence
Nucleus Software Exports Ltd.,531209,NUCLEUS," ? 3,126.92 ",IT - Software
Arvind Smartspaces Ltd.,539301,ARVSMART," ? 3,117.48 ",Construction - Real Estate
JTL Industries Ltd,534600,JTLIND," ? 3,104.17 ",Steel & Iron Products
Pennar Industries Ltd.,513228,PENIND," ? 3,103.49 ",Steel & Iron Products
Premier Explosives Ltd.,526247,PREMEXPLN," ? 3,070.57 ",Chemicals
Krishana Phoschem Ltd.,,KRISHANA," ? 3,065.72 ",Fertilizers
EFC (I) Ltd.,512008,," ? 3,037.37 ",Business Support
Cosmo First Ltd.,508814,COSMOFIRST," ? 3,033.09 ",Plastic Products
Ram Ratna Wires Ltd.,522281,RAMRAT," ? 3,019.08 ",Metal - Non Ferrous
RPSG Ventures Ltd.,542333,RPSGVENT," ? 2,990.35 ",IT - Software
Thirumalai Chemicals Ltd.,500412,TIRUMALCHM," ? 2,983.59 ",Chemicals
ADF Foods Ltd.,519183,ADFFOODS," ? 2,971.81 ",Consumer Food
BF Utilities Ltd.,532430,BFUTILITIE," ? 2,963.88 ",Power Generation/Distribution
Cupid Ltd.,530843,CUPID," ? 2,937.68 ",Household & Personal Products
TCI Express Ltd.,540212,TCIEXP," ? 2,929.73 ",Logistics
Veedol Corporation Ltd.,590005,VEEDOL," ? 2,925.84 ",Lubricants
Bhansali Engineering Polymers Ltd.,500052,BEPL," ? 2,906.67 ",Chemicals
NRB Bearings Ltd.,530367,NRBBEARING," ? 2,899.92 ",Bearings
La Opala RG Ltd.,526947,LAOPALA," ? 2,899.32 ",Glass
Bajaj Consumer Care Ltd.,533229,BAJAJCON," ? 2,897.43 ",Household & Personal Products
Indoco Remedies Ltd.,532612,INDOCO," ? 2,885.57 ",Pharmaceuticals & Drugs
Prakash Industries Ltd.,506022,PRAKASH," ? 2,881.96 ",Steel & Iron Products
The Orissa Minerals Development Company Ltd.,590086,ORISSAMINE," ? 2,871.90 ",Mining & Minerals
Sika Interplant Systems Ltd.,523606,," ? 2,866.25 ",Engineering - Industrial Equipments
Paisalo Digital Ltd.,532900,PAISALO," ? 2,866.03 ",Finance - NBFC
Savita Oil Technologies Ltd.,524667,SOTL," ? 2,861.37 ",Lubricants
LS Industries Ltd.,514446,," ? 2,844.39 ",Textile - Weaving
Deep Industries Ltd.,543288,DEEPINDS," ? 2,842.56 ",Oil Exploration
IOL Chemicals And Pharmaceuticals Ltd.,524164,IOLCP," ? 2,840.17 ",Pharmaceuticals & Drugs
RRP Semiconductor Ltd.,504346,," ? 2,832.63 ",Finance - Investment
Tasty Bite Eatables Ltd.,519091,TASTYBITE," ? 2,825.17 ",Consumer Food
Man Industries (India) Ltd.,513269,MANINDS," ? 2,794.63 ",Steel & Iron Products
Insecticides (India) Ltd.,532851,INSECTICID," ? 2,792.23 ",Pesticides & Agrochemicals
Capacit'e Infraprojects Ltd.,540710,CAPACITE," ? 2,783.90 ",Construction - Real Estate
Flair Writing Industries Ltd.,544030,FLAIR," ? 2,781.91 ",Printing & Stationery
Ddev Plastiks Industries Ltd.,543547,DDEVPLSTIK," ? 2,779.38 ",Plastic Products
Venus Pipes & Tubes Ltd.,543528,VENUSPIPES," ? 2,777.30 ",Steel & Iron Products
Repco Home Finance Ltd.,535322,REPCOHOME," ? 2,753.64 ",Finance - Housing
Honda India Power Products Ltd.,522064,HONDAPOWER," ? 2,751.41 ",Electric Equipment
Marine Electricals (India) Ltd.,,MARINE," ? 2,750.02 ",Engineering - Industrial Equipments
Stylam Industries Ltd.,526951,STYLAMIND," ? 2,740.67 ",Laminates/Decoratives
Globus Spirits Ltd.,533104,GLOBUSSPR," ? 2,740.64 ",Breweries & Distilleries
Oriental Hotels Ltd.,500314,ORIENTHOT," ? 2,735.25 ","Hotel, Resort & Restaurants"
Bajel Projects Ltd.,544042,BAJEL," ? 2,732.35 ",Engineering - Construction
Automotive Axles Ltd.,505010,AUTOAXLES," ? 2,731.04 ",Auto Ancillary
Filatex India Ltd.,526227,FILATEX," ? 2,730.16 ",Textile - Spinning
PTC India Financial Services Ltd.,533344,PFS," ? 2,725.85 ",Finance - NBFC
Universal Cables Ltd.,504212,UNIVCABLES," ? 2,722.55 ",Cable
Alpex Solar Ltd.,,ALPEXSOLAR," ? 2,713.24 ",Electric Equipment
Utkarsh Small Finance Bank Ltd.,543942,UTKARSHBNK," ? 2,696.74 ",Bank - Private
Senores Pharmaceuticals Ltd.,544319,SENORES," ? 2,690.22 ",Pharmaceuticals & Drugs
Jindal Poly Films Ltd.,500227,JINDALPOLY," ? 2,689.36 ",Plastic Products
Monarch Networth Capital Ltd.,511551,MONARCH," ? 2,683.37 ",Finance - Stock Broking
NDR Auto Components Ltd.,543214,NDRAUTO," ? 2,679.41 ",Auto Ancillary
KP Green Engineering Ltd.,544150,," ? 2,676.75 ",Engineering
Xpro India Ltd.,590013,XPROINDIA," ? 2,675.38 ",Plastic Products
Aeroflex Industries Ltd.,543972,AEROFLEX," ? 2,668.66 ",Steel & Iron Products
Gujarat Themis Biosyn Ltd.,506879,GUJTHEM," ? 2,662.74 ",Pharmaceuticals & Drugs
Nilkamal Ltd.,523385,NILKAMAL," ? 2,662.03 ",Plastic Products
TIL Ltd.,505196,TIL," ? 2,637.11 ",Construction Vehicles
Hathway Cable & Datacom Ltd.,533162,HATHWAY," ? 2,626.84 ",Telecommunication - Service  Provider
Genesys International Corporation Ltd.,506109,GENESYS," ? 2,625.44 ",IT - Software
SEPC Ltd.,532945,SEPC," ? 2,625.03 ",Engineering - Construction
KCP Ltd.,590066,KCP," ? 2,620.45 ",Cement & Construction Materials
Novartis India Ltd.,500672,NOVARTIND," ? 2,616.73 ",Trading
Carraro India Ltd.,544320,CARRARO," ? 2,616.02 ",Auto Ancillary
Jubilant Agri And Consumer Products Ltd.,544355,JUBLCPL," ? 2,598.62 ",Agriculture
Meghmani Organics Ltd.,543331,MOL," ? 2,593.75 ",Pesticides & Agrochemicals
India Pesticides Ltd.,543311,IPL," ? 2,589.57 ",Pesticides & Agrochemicals
SRI ADHIKARI BROTHERS TELEVISION NETWORK LTD.,530943,SABTNL," ? 2,567.37 ","Film Production, Distribution & Entertainment"
Pondy Oxides & Chemicals Ltd.,532626,POCL," ? 2,560.56 ",Metal - Non Ferrous
Saksoft Ltd.,590051,SAKSOFT," ? 2,548.80 ",IT - Software
Yasho Industries Ltd.,541167,YASHO," ? 2,545.01 ",Chemicals
